query,runtime (ms),db,engine
"SELECT COUNT( DISTINCT ( COMPANYalias0.NAME ) ) FROM COMPANY AS COMPANYalias0 , COPYRIGHT AS COPYRIGHTalias0 , MOVIE AS MOVIEalias0 WHERE COPYRIGHTalias0.CID = COMPANYalias0.ID AND MOVIEalias0.MID = COPYRIGHTalias0.MSID AND MOVIEalias0.TITLE = ""Camp X-Ray"" ;",1977.6079654693604,imdb,mysql
"SELECT COUNT( DISTINCT ( ACTORalias0.NAME ) ) FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NATIONALITY = ""China"" AND CASTalias0.AID = ACTORalias0.AID AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.TITLE = ""Rush Hour 3"" ;",20985.1131439209,imdb,mysql
"SELECT COUNT( DISTINCT ( COMPANYalias0.NAME ) ) FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , COMPANY AS COMPANYalias0 , COPYRIGHT AS COPYRIGHTalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NAME = ""Gabriele Ferzetti"" AND CASTalias0.AID = ACTORalias0.AID AND COPYRIGHTalias0.CID = COMPANYalias0.ID AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.MID = COPYRIGHTalias0.MSID ;",17881.622791290283,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM ACTOR AS ACTORalias0 , ACTOR AS ACTORalias1 , CAST AS CASTalias0 , CAST AS CASTalias1 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NAME = ""Woody Strode"" AND ACTORalias1.NAME = ""Jason Robards"" AND CASTalias0.AID = ACTORalias0.AID AND CASTalias1.AID = ACTORalias1.AID AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.MID = CASTalias1.MSID ;",3866.572856903076,imdb,mysql
"SELECT MOVIEalias1.TITLE FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTED_BY AS DIRECTED_BYalias1 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 , MOVIE AS MOVIEalias1 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND DIRECTORalias0.DID = DIRECTED_BYalias1.DID AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID AND MOVIEalias0.TITLE = ""Revolutionary Road"" AND MOVIEalias1.MID = DIRECTED_BYalias1.MSID ;",9785.337924957275,imdb,mysql
"SELECT MAX( DERIVED_TABLEalias0.DERIVED_FIELDalias0 ) FROM ( SELECT COUNT( DISTINCT ( MOVIEalias0.TITLE ) ) AS DERIVED_FIELDalias0 FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NAME = "" Brad Pitt "" AND CASTalias0.AID = ACTORalias0.AID AND MOVIEalias0.MID = CASTalias0.MSID GROUP BY MOVIEalias0.RELEASE_YEAR ) AS DERIVED_TABLEalias0 ;",24363.640069961548,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM CLASSIFICATION AS CLASSIFICATIONalias0 , GENRE AS GENREalias0 , MOVIE AS MOVIEalias0 WHERE GENREalias0.GID = CLASSIFICATIONalias0.GID AND MOVIEalias0.MID = CLASSIFICATIONalias0.MSID GROUP BY MOVIEalias0.TITLE ORDER BY COUNT( DISTINCT ( GENREalias0.GENRE ) ) DESC LIMIT 1 ;",12975.982904434204,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NATIONALITY = ""China"" AND CASTalias0.AID = ACTORalias0.AID AND MOVIEalias0.MID = CASTalias0.MSID GROUP BY MOVIEalias0.TITLE ORDER BY COUNT( DISTINCT ( ACTORalias0.NAME ) ) DESC LIMIT 1 ;",27215.797185897827,imdb,mysql
"SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE CASTalias0.AID = ACTORalias0.AID AND DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND DIRECTORalias0.NAME = ""Quentin Tarantino"" AND MOVIEalias0.MID = CASTalias0.MSID AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID ORDER BY MOVIEalias0.RELEASE_YEAR DESC LIMIT 1 ;",2445.223808288574,imdb,mysql
"SELECT MOVIEalias0.BUDGET , MOVIEalias0.TITLE FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND DIRECTORalias0.NAME = ""Quentin Tarantino"" AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID ORDER BY MOVIEalias0.RELEASE_YEAR DESC LIMIT 1 ;",1033.531904220581,imdb,mysql
"SELECT DIRECTORalias0.NAME FROM COMPANY AS COMPANYalias0 , COPYRIGHT AS COPYRIGHTalias0 , DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE COMPANYalias0.NAME = ""NBCUniversal"" AND COPYRIGHTalias0.CID = COMPANYalias0.ID AND DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND MOVIEalias0.MID = COPYRIGHTalias0.MSID AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID ORDER BY MOVIEalias0.RELEASE_YEAR DESC LIMIT 1 ;",1299.342155456543,imdb,mysql
"SELECT MOVIEalias0.TITLE FROM DIRECTED_BY AS DIRECTED_BYalias0 , DIRECTOR AS DIRECTORalias0 , MOVIE AS MOVIEalias0 WHERE DIRECTORalias0.DID = DIRECTED_BYalias0.DID AND DIRECTORalias0.NAME = ""Jim Jarmusch"" AND MOVIEalias0.MID = DIRECTED_BYalias0.MSID ORDER BY MOVIEalias0.RELEASE_YEAR DESC LIMIT 1 ;",1053.7378787994385,imdb,mysql
"SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 , CAST AS CASTalias0 , MOVIE AS MOVIEalias0 WHERE ACTORalias0.NAME = ""Gabriele Ferzetti"" AND CASTalias0.AID = ACTORalias0.AID AND MOVIEalias0.MID = CASTalias0.MSID ORDER BY MOVIEalias0.RELEASE_YEAR DESC LIMIT 1 ;",20447.75128364563,imdb,mysql
